2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:23 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:34 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:34 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:37 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:37 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:47:39 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:47:39 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:48:25 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:48:25 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:49:02 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-11 08:49:02 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 12]
2012-01-11 08:50:10 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 10]
2012-01-11 17:47:38 Notice: Notice (8): Undefined property: UsersController::$FacebookUsers in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 216]
2012-01-12 07:16:26 Notice: Notice (8): Use of undefined constant PHP_SESSION - assumed 'PHP_SESSION' in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 209]
2012-01-12 07:33:51 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 217]
2012-01-12 07:33:51 Notice: Notice (8): Undefined index: first_name in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 218]
2012-01-12 07:33:51 Notice: Notice (8): Undefined index: last_name in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 219]
2012-01-12 07:33:51 Notice: Notice (8): Undefined index: timezone in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 220]
2012-01-12 07:33:51 Notice: Notice (8): Undefined index: gender in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 221]
2012-01-12 07:34:06 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 217]
2012-01-12 07:34:06 Notice: Notice (8): Undefined index: first_name in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 218]
2012-01-12 07:34:06 Notice: Notice (8): Undefined index: last_name in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 219]
2012-01-12 07:34:06 Notice: Notice (8): Undefined index: timezone in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 220]
2012-01-12 07:34:06 Notice: Notice (8): Undefined index: gender in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 221]
2012-01-12 07:34:46 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 217]
2012-01-12 07:34:46 Notice: Notice (8): Undefined index: first_name in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 218]
2012-01-12 07:34:46 Notice: Notice (8): Undefined index: last_name in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 219]
2012-01-12 07:34:46 Notice: Notice (8): Undefined index: timezone in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 220]
2012-01-12 07:34:46 Notice: Notice (8): Undefined index: gender in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 221]
2012-01-12 07:34:46 Notice: Notice (8): Uninitialized string offset: 0 in [/opt/lampp/htdocs/hireroutes/cake/libs/view/view.php, line 856]
2012-01-12 07:36:03 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 217]
2012-01-12 07:36:03 Notice: Notice (8): Undefined index: first_name in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 218]
2012-01-12 07:36:03 Notice: Notice (8): Undefined index: last_name in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 219]
2012-01-12 07:36:03 Notice: Notice (8): Undefined index: timezone in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 220]
2012-01-12 07:36:03 Notice: Notice (8): Undefined index: gender in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 221]
2012-01-12 07:36:03 Notice: Notice (8): Uninitialized string offset: 0 in [/opt/lampp/htdocs/hireroutes/cake/libs/view/view.php, line 856]
2012-01-12 07:44:53 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 222]
2012-01-12 11:52:32 Notice: Notice (8): Undefined variable: FBloginlogoutUrl in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 203]
2012-01-12 11:52:32 Notice: Notice (8): Undefined variable: fbButtonClass in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 7]
2012-01-12 11:52:32 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-12 11:53:57 Notice: Notice (8): Undefined variable: fbButtonClass in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 7]
2012-01-12 11:53:57 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-12 11:54:01 Notice: Notice (8): Undefined variable: fbButtonClass in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 7]
2012-01-12 11:54:01 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-12 11:54:35 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-12 12:21:24 Notice: Notice (8): Undefined index: id in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 13]
